age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
18,12,2,Bachelor,Full-time,83103,Not Religious,1,4.298661572561793,1,Collaborative,3.519099152204236,0,1,0,7.50523796594578,6,Arranged,1,0,7.3398543774281295,0
19,1,3,Bachelor,Homemaker,67524,Same Religion,1,3.162699891891952,4,Passive,2.2120133096312107,0,0,1,8.525429013919695,4,Arranged,0,0,2.1828547574124144,1
25,7,2,High School,Full-time,58690,Same Religion,1,8.412019063720674,0,Avoidant,1.5801002936960735,0,0,0,7.219045637135204,0,Arranged,1,0,8.567999722619923,1
22,1,0,Bachelor,Homemaker,54181,Not Religious,0,6.133440603467015,3,Avoidant,3.736716316288052,1,0,0,6.430891355884065,0,Arranged,1,0,6.732696149462544,0
29,8,2,Bachelor,Full-time,40274,Same Religion,1,5.725568072919847,9,Collaborative,7.825128777512872,0,0,1,7.167311971196983,5,Love,1,0,6.487787638218455,0
23,25,1,High School,Full-time,98935,Same Religion,0,6.728135022315664,3,Avoidant,6.202226487665428,0,0,0,5.608493218338492,4,Love,0,0,7.759188910387736,1
20,34,1,Bachelor,Full-time,39319,Different Religion,1,4.092097326199256,0,Collaborative,5.676465987436651,0,0,0,4.485756918233241,5,Love,0,0,4.100519044428215,0
35,7,3,No Formal Education,Full-time,43010,Same Religion,0,8.141841631989054,3,Aggressive,4.288449921395384,0,0,0,6.837854628245353,4,Love,1,0,4.672430587450664,1
26,6,0,Bachelor,Homemaker,56089,Different Religion,1,7.152058517147301,0,Avoidant,6.056567660829815,0,1,0,8.665170934574702,2,Love,1,0,3.642471263640412,1
28,29,3,No Formal Education,Homemaker,57741,Same Religion,1,5.4332893998229626,2,Collaborative,3.81563028442367,0,0,0,5.064222715713389,3,Love,1,0,3.830676826085164,0
20,11,2,High School,Homemaker,72040,Same Religion,1,5.875596070128954,4,Avoidant,2.995725464347505,1,0,1,5.34303785963361,2,Love,0,0,6.724143503192789,0
25,1,1,Master,Homemaker,46531,Same Religion,1,5.520524464769325,3,Avoidant,6.327450935908667,0,0,0,7.730809989496228,6,Arranged,1,0,5.7474262024513525,0
28,6,2,High School,Unemployed,20228,Different Religion,1,8.66646324988922,4,Aggressive,3.5806841699959526,1,0,0,5.866731429129616,2,Love,1,0,2.858370638677259,0
22,2,2,High School,Part-time,55371,Same Religion,1,6.862548702973629,1,Avoidant,2.3303395819267525,0,0,1,5.890055589790834,3,Arranged,0,0,5.997873007809804,0
29,6,2,Bachelor,Unemployed,56718,Same Religion,1,7.084776086801257,2,Passive,6.07933681034702,1,0,0,4.684812012960773,3,Arranged,0,0,6.653420637515769,1
24,6,0,Bachelor,Full-time,55094,Not Religious,1,6.138341189091412,5,Collaborative,1.6051302533416316,0,0,1,7.03895383006946,3,Love,0,0,7.272592641841027,1
26,8,1,Master,Full-time,54828,Not Religious,1,5.999530963874206,1,Passive,5.971837754658788,1,0,1,5.75628587886131,7,Arranged,0,0,8.692226466088194,1
24,4,0,Bachelor,Part-time,52987,Different Religion,1,9.758203058632173,2,Collaborative,6.015294033668852,0,0,1,3.1524678445759786,4,Love,1,0,4.648157753909189,0
37,1,1,Bachelor,Homemaker,33512,Same Religion,1,5.274675773789185,0,Passive,1.7828260242515452,0,0,0,7.165757437252509,3,Love,0,0,7.423420501646902,0
27,7,3,PhD,Part-time,89244,Same Religion,1,6.438649240258506,1,Collaborative,1.9533111581424896,1,0,0,7.502963222974626,4,Love,0,0,5.827446538530995,1
22,17,1,Bachelor,Unemployed,88112,Different Religion,0,10.0,2,Avoidant,8.26239826033849,1,0,0,5.524402293848422,0,Love,1,0,6.667996056000344,0
32,10,3,High School,Full-time,87908,Not Religious,1,8.654029594452643,2,Avoidant,6.554928307206647,0,0,0,7.85249749264783,2,Arranged,1,0,9.216049787392038,0
21,4,0,High School,Unemployed,36288,Not Religious,0,6.75859191660529,4,Collaborative,6.214597583697207,0,0,0,3.571937427731941,4,Arranged,1,0,3.899413477184406,0
29,27,1,Bachelor,Homemaker,68076,Not Religious,0,2.98049631012879,0,Aggressive,5.540665802636419,0,0,0,4.2324458154655735,4,Love,0,0,8.626196645258142,0
18,24,1,Master,Full-time,51543,Not Religious,1,10.0,5,Avoidant,6.785683051512512,0,1,0,5.127324860588455,3,Love,1,0,8.327906904041784,0
21,2,4,High School,Homemaker,50455,Same Religion,0,5.519086550182872,1,Avoidant,6.785629183468206,0,0,1,6.136013943450635,4,Love,1,0,5.016824010532325,1
28,1,4,High School,Part-time,41427,Different Religion,1,6.167813042582003,0,Collaborative,2.987917306895776,1,1,0,6.7324478583222485,7,Love,0,0,7.410423477497199,0
31,13,1,High School,Part-time,111311,Not Religious,0,8.06362937236658,1,Collaborative,4.524802509870107,0,0,0,5.021986038650454,0,Love,1,0,5.726511609181399,0
28,17,1,Bachelor,Homemaker,55025,Not Religious,1,5.587955265813238,0,Passive,3.904105597475356,0,0,0,7.330006858066143,4,Love,1,0,2.8987287733467646,0
27,34,3,High School,Full-time,41560,Not Religious,1,6.425366526107433,1,Avoidant,6.433515607484516,0,0,0,4.956603517496109,0,Love,1,0,4.732045200031306,1
26,22,1,High School,Full-time,62763,Same Religion,1,6.12896813814217,1,Aggressive,5.422156530429214,0,0,1,1.1787279641159456,3,Love,1,0,5.497472803078692,1
20,9,1,Bachelor,Part-time,75262,Different Religion,0,5.272811712014363,5,Collaborative,8.16253692241918,0,0,0,3.3608966840980505,3,Love,0,0,7.209918516352293,1
24,7,2,Master,Full-time,57173,Same Religion,1,6.702655010140669,2,Avoidant,5.696813105365169,0,0,0,9.254212475174556,6,Arranged,1,0,3.4237363864972195,0
25,1,1,Bachelor,Full-time,64885,Same Religion,1,4.7318704859157386,2,Collaborative,5.091891163114181,0,0,0,4.534875416721442,2,Love,1,0,5.0038330687239725,1
33,2,2,Bachelor,Full-time,80037,Same Religion,1,3.727194676447238,0,Collaborative,7.039998510739215,0,0,0,4.80656214659748,3,Arranged,1,0,4.384861786055907,1
29,6,0,High School,Homemaker,40908,Not Religious,0,7.081663848723242,2,Collaborative,7.064509983041953,1,0,0,3.08830846694385,1,Love,0,0,5.775442849989868,0
19,9,1,PhD,Full-time,63555,Not Religious,1,8.503443445764212,1,Collaborative,8.056472103967218,0,0,0,7.145420779823347,3,Love,1,0,9.694057897501104,0
29,8,1,Bachelor,Full-time,47219,Different Religion,1,4.5149409894609125,1,Aggressive,5.511584340628948,0,0,0,5.146423213923277,3,Love,1,0,1.327305412792814,0
26,13,0,No Formal Education,Homemaker,44513,Same Religion,1,4.946655027098033,5,Aggressive,10.0,0,0,0,5.810338605704324,0,Other,1,0,5.933403580529002,0
24,3,1,No Formal Education,Homemaker,95039,Same Religion,1,6.009671498630515,3,Avoidant,7.312483494392203,0,0,1,5.764208430003103,3,Other,1,0,7.024036436651344,0
31,8,1,Master,Unemployed,58212,Different Religion,1,6.01185258939697,2,Collaborative,10.0,0,0,0,2.621622708035252,1,Love,1,0,6.194355482246751,0
33,1,0,High School,Part-time,38761,Same Religion,0,2.055657203731652,4,Aggressive,5.214019588999034,1,0,0,4.954687638892687,3,Love,0,0,9.203863828713844,0
32,5,3,Bachelor,Full-time,57769,Same Religion,0,5.152033338220539,0,Aggressive,10.0,1,0,0,8.437675438769048,4,Love,0,0,6.962169201711999,0
23,13,2,High School,Full-time,35810,Not Religious,1,9.590467478498086,3,Avoidant,6.78776364009068,0,0,1,6.295150552356919,2,Love,0,0,6.477576092928632,0
26,11,2,Master,Full-time,55651,Same Religion,0,8.794885814217361,1,Avoidant,2.4376938448308234,0,0,0,2.239437478836479,6,Love,1,0,3.755112053579569,0
29,40,2,Master,Unemployed,46430,Same Religion,0,9.40859443463916,4,Avoidant,2.619315617434025,0,0,0,5.711054943715686,1,Love,1,0,8.284991099228568,0
32,3,1,No Formal Education,Full-time,70218,Same Religion,0,7.23522371194593,1,Avoidant,4.258354154172338,0,0,0,5.109539113119432,0,Arranged,1,1,3.966563126446115,1
25,6,2,Bachelor,Part-time,98741,Not Religious,0,4.9361152491674485,4,Collaborative,4.228492315161689,0,0,0,5.200622921376284,1,Love,1,0,6.601983246765409,0
27,3,2,Bachelor,Full-time,56501,Not Religious,1,6.512803335374046,2,Avoidant,5.850609658057826,0,0,0,4.817119834848189,0,Love,1,0,3.4825537754895723,1
22,5,3,Bachelor,Full-time,47181,Not Religious,1,7.196819540876245,3,Collaborative,9.396150255383066,0,0,1,4.811594824340861,2,Love,1,0,9.522426073162665,0
22,19,1,Bachelor,Part-time,61820,Different Religion,1,5.341582112988386,2,Collaborative,5.809356352071342,0,0,0,5.705989475604588,2,Love,1,0,6.210819421770026,0
32,11,3,Bachelor,Unemployed,89825,Same Religion,1,2.5510323626398312,1,Collaborative,2.4835242114383016,0,0,0,4.691891527688069,2,Love,1,0,8.38682352571946,0
34,21,1,Bachelor,Full-time,70326,Not Religious,0,7.810919615398253,1,Avoidant,6.095975150269467,0,1,0,7.726026988923289,2,Arranged,1,0,7.661105169657485,1
27,2,2,PhD,Full-time,57179,Same Religion,1,5.102897473690142,2,Aggressive,3.994620266244016,0,0,0,4.600621068024107,4,Love,0,0,6.265998686691501,0
33,20,1,Bachelor,Full-time,18672,Same Religion,0,7.252790099387257,0,Collaborative,4.124290009399942,0,1,0,3.6102793615925233,2,Other,0,0,7.536807870120749,1
29,1,0,Master,Full-time,58953,Same Religion,1,2.8378481976546737,1,Aggressive,4.534563537218135,0,1,0,8.292720521093763,3,Love,0,0,5.941440276859291,1
24,21,2,Master,Part-time,75530,Not Religious,1,4.7167377169935465,0,Aggressive,4.08201300183684,0,0,1,5.031021217652653,3,Love,1,0,1.0,0
29,3,2,Bachelor,Full-time,79150,Not Religious,1,6.775865186317892,1,Collaborative,1.7615733756816647,0,0,1,5.344440467647683,4,Love,1,0,3.8889898114855215,0
35,3,0,Bachelor,Full-time,86216,Same Religion,0,7.262075146364657,4,Collaborative,5.239016831758789,1,0,0,2.423503565963281,4,Arranged,1,0,7.553015289519208,0
27,7,3,Bachelor,Homemaker,46510,Same Religion,1,7.497121394645792,3,Collaborative,9.352078797587165,1,0,0,2.112276007658389,1,Love,0,0,4.5348866351209,1
35,28,0,Bachelor,Part-time,51939,Not Religious,1,5.862255554743214,0,Passive,7.001524951724588,0,0,0,5.963328764098036,3,Love,0,0,5.657835551297955,0
18,1,0,High School,Full-time,57595,Same Religion,1,6.38568164448087,2,Collaborative,2.027049427027426,0,0,1,7.111504929779461,4,Love,0,0,7.070764346948248,1
32,4,2,Bachelor,Full-time,74192,Different Religion,0,6.779376364469067,3,Avoidant,1.0,0,0,0,8.539902157321755,2,Love,1,0,6.237396758798687,1
28,19,4,No Formal Education,Full-time,54737,Same Religion,1,6.639362853737283,1,Collaborative,5.8252256157721645,0,0,1,5.73328249828157,4,Love,1,0,3.179765078024392,0
26,5,1,High School,Full-time,70496,Same Religion,0,7.142361102208029,0,Collaborative,6.445152145658,0,0,0,6.132330712942781,3,Love,0,0,3.287470098936623,0
28,2,3,Bachelor,Part-time,52312,Same Religion,1,3.6975526106714174,3,Collaborative,6.439469916423531,0,0,0,4.888040424171069,3,Other,1,0,6.480176858587622,1
18,5,3,Master,Part-time,45883,Same Religion,1,9.72648732603967,1,Collaborative,5.281960817967117,0,0,1,7.368501920942723,5,Love,1,0,8.200173275125952,0
26,4,2,Bachelor,Full-time,82194,Different Religion,1,5.631566637764683,1,Aggressive,2.410996420124769,0,0,0,6.530381673746479,3,Other,1,0,9.534781930599426,0
29,24,1,Bachelor,Part-time,66247,Not Religious,0,5.81020422093733,3,Avoidant,9.15634492821053,0,0,1,4.655670586330983,2,Love,1,0,9.906864749405417,1
35,14,3,Master,Full-time,74932,Same Religion,1,5.417922199285718,0,Collaborative,4.686340064234495,0,0,0,5.091887805344244,1,Love,0,1,7.133443663132084,1
25,7,4,Bachelor,Full-time,55874,Not Religious,1,6.463506138315852,4,Collaborative,3.7016166882578703,0,0,1,3.260737325232172,4,Love,1,0,8.028876064811971,0
23,40,2,High School,Unemployed,76082,Different Religion,1,3.1152858261001874,1,Collaborative,6.234936304221434,0,0,0,4.830917993786637,3,Love,0,0,7.192758258334329,1
25,6,2,No Formal Education,Full-time,38746,Same Religion,0,5.025432704393078,4,Avoidant,3.738305647628669,0,0,0,6.611729920353614,3,Love,1,0,4.172889293290641,0
32,1,3,Bachelor,Full-time,41931,Same Religion,1,2.1837842864681494,3,Collaborative,2.1680962557324746,0,0,0,6.734246512807168,3,Arranged,1,0,3.95966909434088,1
29,3,0,Bachelor,Homemaker,78842,Different Religion,1,5.064104363271496,2,Avoidant,3.782447234626871,0,1,0,4.34241531372486,4,Love,0,0,6.229962892569163,1
25,5,1,Bachelor,Full-time,58595,Same Religion,1,6.315651573508536,2,Collaborative,5.605860244250488,0,0,1,3.033243135377357,3,Love,1,1,8.190678193946829,0
30,1,1,High School,Full-time,55069,Same Religion,1,7.138984655359176,1,Collaborative,8.272589543969618,0,0,0,5.463886617060086,2,Arranged,0,0,4.485038289839333,1
28,29,1,No Formal Education,Unemployed,41609,Not Religious,1,5.881521681301042,0,Collaborative,1.0,0,0,0,10.0,4,Love,1,0,5.902160454690911,0
32,14,2,Master,Part-time,76089,Different Religion,1,6.571972199664851,1,Collaborative,6.060079164038575,1,0,1,6.631072475534119,0,Love,1,0,7.553708891212819,0
24,3,4,High School,Unemployed,97307,Same Religion,1,2.628133907353742,1,Collaborative,7.102268074221808,1,0,0,3.619522739875441,4,Love,1,0,5.843894871998138,1
26,8,2,No Formal Education,Full-time,72152,Same Religion,1,6.311842884661902,3,Avoidant,6.017560942922527,0,0,0,5.3090659463465615,4,Love,0,0,6.073941526783306,0
26,12,2,Master,Full-time,51017,Same Religion,1,8.514125171659533,0,Collaborative,6.587876614789182,0,0,1,4.304108056548403,1,Arranged,1,0,8.410315182783547,0
20,28,0,Bachelor,Full-time,87735,Same Religion,1,6.927619025752996,2,Avoidant,8.533834523519861,0,0,0,6.660446000391075,4,Love,0,0,10.0,0
29,21,4,Bachelor,Part-time,67187,Same Religion,0,4.50715478809211,2,Collaborative,7.355588651734855,0,1,0,3.4371470351137337,1,Love,0,0,3.519395477869976,1
29,7,2,High School,Full-time,51340,Same Religion,1,6.338098726532778,4,Collaborative,4.007579113990384,0,1,0,7.717086411156421,6,Love,0,0,5.811395240668484,0
28,14,1,Bachelor,Part-time,85513,Same Religion,1,8.729720771678892,2,Collaborative,7.391373016080206,0,0,1,5.994207617752685,0,Love,1,0,10.0,0
26,8,0,High School,Full-time,56391,Different Religion,0,7.139058080031079,0,Avoidant,5.405785632619236,0,1,0,5.915535279117611,2,Love,0,0,6.214459791508574,1
20,8,2,Bachelor,Full-time,31146,Same Religion,1,7.193530316933224,2,Aggressive,6.960402650815473,0,0,0,3.894916075827068,1,Love,1,0,4.46920350021456,0
25,1,4,Bachelor,Full-time,53647,Same Religion,1,4.427592041463334,2,Collaborative,1.8767144311528103,0,0,0,4.52168967446698,2,Love,1,0,7.160281513987217,0
26,1,0,Master,Homemaker,70641,Same Religion,1,5.275207220340727,4,Aggressive,4.563567313935686,0,0,0,1.769704418907672,4,Arranged,0,0,5.822135981969911,0
23,7,0,Master,Homemaker,45646,Same Religion,1,5.862714338935855,2,Aggressive,6.508411919099822,0,0,0,5.960987306446715,8,Love,0,0,3.416276843748624,0
27,3,2,High School,Homemaker,22553,Same Religion,1,9.613816179553307,1,Collaborative,4.682720479205959,1,0,1,8.009354573125806,1,Love,0,0,5.1768812542751865,0
30,1,0,Master,Full-time,89396,Same Religion,0,4.174888850497825,4,Avoidant,6.3314141255601,0,1,0,4.43142088851745,3,Love,1,1,7.534574361882278,0
37,12,1,Bachelor,Full-time,119878,Same Religion,1,6.519266100964513,4,Collaborative,8.356604462125166,0,0,1,5.628444197870951,6,Love,1,0,4.520398161159339,1
28,1,2,Bachelor,Full-time,50490,Same Religion,1,7.34641129567285,2,Collaborative,4.317479429579405,0,0,0,4.483040857370352,7,Love,1,0,6.925619076185148,1
29,9,1,High School,Part-time,47403,Not Religious,0,7.483545942861157,0,Avoidant,7.212207928032068,0,0,0,4.34416194826344,6,Arranged,1,0,10.0,0
27,7,1,Master,Full-time,33058,Same Religion,1,5.503114508188335,3,Aggressive,2.4293728384864948,0,1,0,4.047032405106386,1,Love,1,0,3.7366524291238816,0
18,34,0,PhD,Full-time,43576,Same Religion,1,5.347785614942798,2,Avoidant,6.898164056896001,0,0,1,7.578362655571069,4,Love,0,0,5.537771850920631,1
27,6,0,Master,Full-time,29443,Same Religion,1,9.855182786521404,1,Collaborative,1.0,0,0,1,5.78287168037676,5,Arranged,0,1,6.926116257412506,1
28,1,0,PhD,Full-time,33900,Not Religious,0,5.463740206903281,2,Collaborative,5.492339423885831,0,1,1,3.843281192982293,3,Love,0,0,6.674082048688237,0
40,8,0,Bachelor,Full-time,60044,Not Religious,1,5.163431374415143,1,Aggressive,5.412444058940487,0,1,0,7.11885439140595,6,Love,1,0,6.977576101029825,0
27,18,2,Master,Full-time,28419,Same Religion,1,7.858315447804514,3,Aggressive,9.302363857109746,0,0,0,3.696150388630042,0,Other,1,0,5.714836202739697,1
29,40,5,Bachelor,Full-time,30631,Same Religion,1,6.256762200394605,1,Collaborative,3.785796680950814,0,0,0,6.482018044416432,6,Love,1,0,7.207927523368268,0
27,5,2,High School,Full-time,64140,Same Religion,1,3.398401473610602,1,Collaborative,1.0,0,0,0,5.618894554895364,3,Love,1,0,5.191329324130196,0
22,3,1,Bachelor,Part-time,47650,Same Religion,1,7.95900146838561,4,Collaborative,6.3123226722895485,0,1,0,7.928289367842224,5,Love,0,0,4.924677786506406,0
33,23,4,Bachelor,Unemployed,67133,Same Religion,1,5.204587923967714,0,Avoidant,2.468896360551144,0,0,0,6.2875676396046885,3,Love,0,0,5.627178473757586,0
31,2,0,High School,Full-time,53159,Same Religion,1,5.182988256225311,5,Collaborative,5.1514390126113305,0,1,0,6.796436049038649,1,Love,0,0,8.7679375999004,1
31,9,1,High School,Unemployed,56288,Same Religion,0,10.0,4,Aggressive,3.3498959256997107,0,0,0,5.228219883858867,5,Love,1,0,5.4862879952895725,1
23,5,0,High School,Full-time,75602,Same Religion,0,5.530702456739534,1,Aggressive,4.484406346488508,0,1,0,6.802652188019003,3,Love,1,0,9.15076148273969,1
35,1,2,Bachelor,Full-time,49026,Same Religion,0,6.1346807536537495,4,Passive,1.0,0,0,1,5.362516622270659,4,Love,1,0,3.000180581878974,1
20,4,0,High School,Part-time,74194,Not Religious,1,7.826399229818161,0,Avoidant,1.0,1,0,0,6.728803074572761,4,Other,1,0,8.307123049102282,0
30,3,0,High School,Homemaker,51603,Same Religion,1,4.135841884196887,1,Avoidant,5.954823874864396,0,0,0,6.9640668549476,6,Love,0,0,8.397857197631062,0
38,11,4,Bachelor,Part-time,43585,Different Religion,1,7.116656790688198,1,Aggressive,4.637313291349311,0,0,0,9.81655818764666,3,Love,1,0,5.817860613085428,1
23,29,3,No Formal Education,Full-time,38519,Same Religion,1,7.848067958463844,2,Aggressive,2.1380186322793238,0,0,0,1.0,3,Love,1,0,9.955291884372349,1
25,3,2,Master,Part-time,26866,Same Religion,1,8.653033795664143,0,Collaborative,3.619172689896969,0,0,0,4.412891008060261,1,Love,0,0,5.976243680836842,1
28,16,3,Bachelor,Full-time,35191,Not Religious,1,7.318852957555582,5,Aggressive,6.226955174024422,0,0,0,2.954229749066332,4,Arranged,1,0,7.290128977144267,1
25,1,1,No Formal Education,Full-time,24530,Same Religion,1,3.7900594621878727,4,Collaborative,4.305637407776882,0,0,1,4.19883035069012,4,Love,0,0,3.983096353560629,0
20,7,1,Bachelor,Full-time,40109,Same Religion,1,6.872534603138872,0,Collaborative,6.086618349679468,0,0,0,6.435573457642341,4,Love,0,0,6.479063985519936,0
28,1,0,Bachelor,Part-time,76420,Same Religion,1,3.309904255737682,1,Collaborative,2.810520736308002,0,0,0,6.087440287752906,2,Love,0,0,4.295960914614862,0
22,27,0,Bachelor,Full-time,59833,Same Religion,1,8.460062289167963,0,Aggressive,6.371533948468862,0,0,0,8.303018250989634,1,Love,0,0,1.4100382965558813,0
30,14,1,Bachelor,Unemployed,52242,Same Religion,0,8.148330080007105,1,Aggressive,4.402533243278628,1,1,1,7.543133130625084,3,Love,1,0,8.465333714746738,1
23,10,1,High School,Part-time,46174,Same Religion,1,6.449437489111844,3,Collaborative,5.954696777575763,0,0,0,6.43876523627647,3,Arranged,1,0,6.599184106590204,0
35,17,0,Bachelor,Full-time,58374,Same Religion,0,6.3680931574374,3,Avoidant,5.729317187987736,1,0,0,10.0,2,Love,1,0,8.44274257814433,0
24,10,1,Bachelor,Homemaker,60604,Same Religion,0,5.984833507555443,2,Passive,3.990249899108216,1,1,1,4.898019532827325,5,Love,1,0,6.148141300882389,1
26,34,2,Bachelor,Part-time,37698,Same Religion,0,5.9469162275764775,3,Collaborative,4.112142236211448,0,0,0,7.976138110356151,2,Arranged,0,0,2.641225693640852,0
32,12,0,Master,Full-time,69271,Same Religion,0,7.935657621342087,2,Collaborative,4.621305817419031,0,0,0,4.503227464296582,1,Arranged,0,0,6.815809908785676,0
21,25,2,Bachelor,Full-time,53487,Different Religion,1,5.377158679704546,0,Collaborative,6.707298315706757,0,0,1,3.077172517996775,3,Love,1,0,6.676059075543894,0
29,7,1,Master,Part-time,65936,Same Religion,1,10.0,2,Aggressive,9.319321629414503,0,0,0,4.983407825885537,1,Arranged,0,0,4.9740827973266,1
34,1,2,Bachelor,Full-time,59359,Different Religion,0,6.346129922604521,0,Avoidant,3.0276025907100745,0,0,0,7.731023141705608,1,Love,1,0,5.5358856109141525,0
19,7,1,No Formal Education,Homemaker,31631,Not Religious,1,8.483054133684362,2,Passive,7.41707580345322,0,0,0,4.855060321311577,4,Love,0,0,6.959928182024976,1
28,1,2,Bachelor,Full-time,86016,Same Religion,1,2.6901491183055946,2,Aggressive,4.3393546299442,0,0,0,6.257829240869097,3,Other,0,0,5.394669763256134,1
29,8,0,PhD,Full-time,59770,Same Religion,1,4.845511943159,1,Aggressive,4.740577667474675,0,1,0,4.556079043276677,2,Arranged,1,1,6.521803442104598,0
31,6,1,Master,Homemaker,52646,Same Religion,1,7.832791569654884,3,Passive,5.711091232774361,0,0,0,5.77152467849883,3,Love,1,0,6.1848587380182805,1
21,9,1,Bachelor,Homemaker,71651,Same Religion,0,6.645393125722972,1,Passive,3.868113477078325,0,0,0,8.478635767518517,4,Arranged,0,0,5.765212007644567,0
21,1,4,Bachelor,Full-time,36853,Different Religion,1,6.056870501240672,1,Aggressive,4.103301041562149,1,0,0,5.250187923795903,2,Arranged,0,0,5.276909625188864,1
30,2,1,High School,Unemployed,28514,Same Religion,1,8.119271448253741,2,Avoidant,9.677793464932268,0,0,0,8.4384041263487,4,Love,1,0,2.5564601328475653,0
29,6,2,No Formal Education,Full-time,71131,Same Religion,0,10.0,0,Avoidant,5.210793665304806,0,0,0,3.3155786987899254,4,Love,0,0,4.123255623215026,1
29,30,1,High School,Unemployed,82931,Same Religion,1,3.68854324186892,1,Aggressive,6.239294401356969,0,0,0,1.0,6,Love,1,0,5.439193828906012,0
29,4,1,Bachelor,Homemaker,65728,Different Religion,0,8.001787302710373,2,Collaborative,9.549613209366443,0,0,0,3.5271143648470664,4,Love,1,0,2.714735459685649,1
24,5,1,Bachelor,Full-time,76115,Same Religion,0,5.11530180989731,1,Aggressive,9.47222828409333,0,0,0,6.613562984119112,1,Love,1,0,4.037029235553744,1
29,12,3,Bachelor,Full-time,34676,Not Religious,0,7.70965065954216,1,Aggressive,4.559016372965652,1,0,0,5.49395413602512,4,Love,1,0,7.097257315011475,0
29,9,1,Bachelor,Full-time,52814,Different Religion,1,5.091907984790043,2,Aggressive,3.0607209516404907,0,0,1,4.86761321016583,8,Love,0,0,4.7322861835530174,0
24,3,1,PhD,Full-time,46839,Same Religion,1,7.058750044087567,4,Aggressive,2.314265335317346,0,0,0,2.637493383581166,4,Love,0,0,7.29270277067589,0
37,5,0,Bachelor,Full-time,80551,Same Religion,1,7.24053303809074,3,Passive,2.0583758554422875,0,0,1,3.4554867605166266,2,Love,1,0,7.691255787680147,1
30,2,1,No Formal Education,Unemployed,69881,Same Religion,1,4.606981278753872,1,Collaborative,3.931277150003768,0,1,0,4.342659698779443,4,Other,1,0,2.508700437575837,0
22,33,1,Bachelor,Full-time,80623,Same Religion,1,5.049633616918408,1,Collaborative,2.245658530189192,0,0,0,6.26303815956364,5,Love,1,0,10.0,0
31,1,2,High School,Full-time,47642,Not Religious,1,5.622066760224183,4,Passive,4.840047654911344,0,0,1,7.605413344437907,3,Love,0,0,5.501644065729938,0
23,4,2,High School,Unemployed,37370,Same Religion,1,2.749460006767644,1,Aggressive,3.2084168541045743,0,0,1,4.546365030799296,2,Love,1,0,3.1869560235150693,0
31,1,1,Master,Full-time,86581,Same Religion,1,6.907464140809524,3,Collaborative,4.157756239106763,1,0,0,4.377464327114028,3,Arranged,0,0,7.939992125086098,0
